target,method,sample_rate_hz,taps,fft_size,phase_delay_samples,sample_index,peak_index,peak_aligned_index,coefficient,normalised_coefficient
crossover,phase-interpolation,48000,129,1024,16,118,23,95,-2.89851751e-09,-3.27349419e-08
crossover,phase-interpolation,48000,129,1024,16,119,23,96,-1.47613156e-09,-1.66709639e-08
crossover,phase-interpolation,48000,129,1024,16,120,23,97,-1.04471937e-09,-1.17987308e-08
crossover,phase-interpolation,48000,129,1024,16,121,23,98,-1.62037602e-10,-1.83000153e-09
crossover,phase-interpolation,48000,129,1024,16,122,23,99,-4.04339179e-11,-4.56647906e-10
crossover,phase-interpolation,48000,129,1024,16,123,23,100,4.52821812e-10,5.11402661e-09
crossover,phase-interpolation,48000,129,1024,16,124,23,101,3.90049971e-10,4.40510126e-09
crossover,phase-interpolation,48000,129,1024,16,125,23,102,6.31446496e-10,7.13135741e-09
crossover,phase-interpolation,48000,129,1024,16,126,23,103,4.86007876e-10,5.48881954e-09
crossover,phase-interpolation,48000,129,1024,16,127,23,104,5.80596366e-10,6.55707209e-09
crossover,phase-interpolation,48000,129,1024,16,128,23,105,4.20789004e-10,4.75225819e-09
crossover,complex-minimax,48000,129,1024,16,0,23,-23,-0.000515976204,-0.00582701553
crossover,complex-minimax,48000,129,1024,16,1,23,-22,-0.000381437264,-0.00430764218
crossover,complex-minimax,48000,129,1024,16,2,23,-21,-0.000510001976,-0.00575954746
crossover,complex-minimax,48000,129,1024,16,3,23,-20,-0.000653802142,-0.00738350956
crossover,complex-minimax,48000,129,1024,16,4,23,-19,-0.000806515992,-0.00910813556
crossover,complex-minimax,48000,129,1024,16,5,23,-18,-0.000955429811,-0.0107898471
crossover,complex-minimax,48000,129,1024,16,6,23,-17,-0.00108145567,-0.0122130806
crossover,complex-minimax,48000,129,1024,16,7,23,-16,-0.00115379399,-0.0130300108
crossover,complex-minimax,48000,129,1024,16,8,23,-15,-0.00112919117,-0.0127521665
crossover,complex-minimax,48000,129,1024,16,9,23,-14,-0.000943271513,-0.0106525412
crossover,complex-minimax,48000,129,1024,16,10,23,-13,-0.000508525783,-0.00574287653
crossover,complex-minimax,48000,129,1024,16,11,23,-12,0.000302074652,0.0034113854
crossover,complex-minimax,48000,129,1024,16,12,23,-11,0.0016605273,0.0187526446
crossover,complex-minimax,48000,129,1024,16,13,23,-10,0.0038262278,0.0432103043
crossover,complex-minimax,48000,129,1024,16,14,23,-9,0.00717022948,0.0809747392
crossover,complex-minimax,48000,129,1024,16,15,23,-8,0.0124225404,0.140290066
crossover,complex-minimax,48000,129,1024,16,16,23,-7,0.021231354,0.239769641
crossover,complex-minimax,48000,129,1024,16,17,23,-6,0.033482171,0.378120404
crossover,complex-minimax,48000,129,1024,16,18,23,-5,0.0473690836,0.534947898
crossover,complex-minimax,48000,129,1024,16,19,23,-4,0.0609662241,0.688502942
crossover,complex-minimax,48000,129,1024,16,20,23,-3,0.072687963,0.820878727
crossover,complex-minimax,48000,129,1024,16,21,23,-2,0.081481964,0.92019102
crossover,complex-minimax,48000,129,1024,16,22,23,-1,0.0868004457,0.980253626
crossover,complex-minimax,48000,129,1024,16,23,23,0,0.0885489667,1
crossover,complex-minimax,48000,129,1024,16,24,23,1,0.0869679392,0.982145162
crossover,complex-minimax,48000,129,1024,16,25,23,2,0.0825369658,0.932105352
crossover,complex-minimax,48000,129,1024,16,26,23,3,0.0758648414,0.856755807
crossover,complex-minimax,48000,129,1024,16,27,23,4,0.067613885,0.763576216
crossover,complex-minimax,48000,129,1024,16,28,23,5,0.0584278095,0.659836153
crossover,complex-minimax,48000,129,1024,16,29,23,6,0.0488915094,0.552140936
crossover,complex-minimax,48000,129,1024,16,30,23,7,0.0394971386,0.446048555
crossover,complex-minimax,48000,129,1024,16,31,23,8,0.0306343798,0.345959766
crossover,complex-minimax,48000,129,1024,16,32,23,9,0.0225840026,0.255045355
crossover,complex-minimax,48000,129,1024,16,33,23,10,0.0155272345,0.175351956
crossover,complex-minimax,48000,129,1024,16,34,23,11,0.00955435323,0.107899093
crossover,complex-minimax,48000,129,1024,16,35,23,12,0.00468228442,0.0528779114
crossover,complex-minimax,48000,129,1024,16,36,23,13,0.000868323606,0.00980614047
crossover,complex-minimax,48000,129,1024,16,37,23,14,-0.00197171088,-0.0222668988
crossover,complex-minimax,48000,129,1024,16,38,23,15,-0.00395078662,-0.0446169703
crossover,complex-minimax,48000,129,1024,16,39,23,16,-0.00519607646,-0.0586802609
crossover,complex-minimax,48000,129,1024,16,40,23,17,-0.00584011565,-0.0659535155
crossover,complex-minimax,48000,129,1024,16,41,23,18,-0.00601113287,-0.067884845
crossover,complex-minimax,48000,129,1024,16,42,23,19,-0.00582854824,-0.0658228826
crossover,complex-minimax,48000,129,1024,16,43,23,20,-0.00539782531,-0.0609586482
crossover,complex-minimax,48000,129,1024,16,44,23,21,-0.0048095296,-0.054314915
crossover,complex-minimax,48000,129,1024,16,45,23,22,-0.0041375172,-0.0467257536
crossover,complex-minimax,48000,129,1024,16,46,23,23,-0.0034403169,-0.0388521406
crossover,complex-minimax,48000,129,1024,16,47,23,24,-0.0027613295,-0.0311842092
crossover,complex-minimax,48000,129,1024,16,48,23,25,-0.00213134941,-0.0240697265
crossover,complex-minimax,48000,129,1024,16,49,23,26,-0.00156966737,-0.0177265465
